|message_id|user_name|speaker|timestamp|conversation_id|text
29|94c261e7-4935-4e89-ab16-917976ccf51f|Butterfly|9df00e6df2a84ed4b9fc4006a8e31df1|2021-05-31 17:08:21.598265+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|hi
30|87e240a2-b7fa-409d-b095-25ecdc215c26|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:08:28.356040+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I clicked the number 2
31|a5cc5e1e-2a9c-45f5-96ef-470b6805f393|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:08:36.346840+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|hi
32|380ce36f-3d08-4e88-8240-9edc3c3b0ddf|Hedgehog|8a392eaf4bec4f9db36cf1248f4f2d78|2021-05-31 17:08:39.160455+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|hay
33|bf5759a1-97b5-4ccb-9813-1c7f2ffe7c01|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:08:47.277171+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|HEY
34|532f0136-0e7b-471f-b55d-d63a0823e6c2|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:09:05.210835+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I think checking the E and the 2 will provide the solution
37|7a5c7229-57c8-402b-9a89-b24316031d15|Hedgehog|8a392eaf4bec4f9db36cf1248f4f2d78|2021-05-31 17:09:21.254102+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|sounds right to me
40|cffd9a95-847c-4d8d-84e8-dd6e2e737da4|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:09:29.510817+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I agree and revised my selection
41|86306ccc-ad4b-4dc2-a5cf-548fe4ae795f|Leopard|aa460b90bcff4c07a26be8bb1f18e35e|2021-05-31 17:09:42.431331+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|Hi! I also chose 2, but turning over E and 2 should be enough to test it, I think
43|85925d8d-4b63-4474-a94a-9870f34defc3|Butterfly|9df00e6df2a84ed4b9fc4006a8e31df1|2021-05-31 17:09:46.176482+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|same
46|43ea3bf5-b49f-4dee-a9f4-b9dc70a13ab4|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:10:05.952843+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|well that was easy LOL
47|684e742b-76c1-4afa-b040-9ce57c8b9b36|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:10:10.270251+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|lol
48|f53547eb-9bef-4bd2-80aa-fc6f81a42da7|Hedgehog|8a392eaf4bec4f9db36cf1248f4f2d78|2021-05-31 17:10:14.887939+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|nice job guys
49|c4094b27-ac68-4d71-91df-f87ce28134bb|Butterfly|9df00e6df2a84ed4b9fc4006a8e31df1|2021-05-31 17:10:19.388888+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|so how to test it
52|c30988ce-3111-4b63-ab59-177a7637d5d2|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:10:45.496566+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|Maybe they will say before it ends?
55|97fddf70-2b04-4254-ac09-a60d33c884a6|Leopard|aa460b90bcff4c07a26be8bb1f18e35e|2021-05-31 17:13:46.651983+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I actually think that it might be E and 9 though. To test for truth and to test for falseness, since the opposite of an even card doesn't necessarily have to be a vowel. (it doesn't say the converse is true)
57|42db43aa-3389-417f-8906-652a8c21ac84|Leopard|aa460b90bcff4c07a26be8bb1f18e35e|2021-05-31 17:13:56.651475+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I don't know why I'm still thinking about this
58|0b90c081-c9dc-463b-ac64-eb896956f6a9|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:14:02.280803+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|hahaha
59|ec858cd7-d701-4a56-bfe5-937c6a484284|Leopard|aa460b90bcff4c07a26be8bb1f18e35e|2021-05-31 17:14:18.914887+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I also have no sense of real world time except for the HIT timer, so there's that
60|c009cc8a-d959-46fc-a484-391d21b0e58a|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:14:24.740942+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|Don't feel bad...I am still looking at it too. lol
61|fe555260-78c0-401b-964e-198b26231512|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:14:28.594682+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I think we're good
62|1d72487c-cbdd-4690-b9fe-89bb58a61f1a|Llama|700b402428db476e89bd8f70cc216a77|2021-05-31 17:14:50.069712+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|I'm gonna go with E and 2 for my final decision
70|78efcd23-5bc0-4249-911e-63adea0466a9|Butterfly|9df00e6df2a84ed4b9fc4006a8e31df1|2021-05-31 17:15:50.504203+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|ach
72|a3c7a731-79d5-4e4f-8571-71c4a8684ffe|Butterfly|9df00e6df2a84ed4b9fc4006a8e31df1|2021-05-31 17:17:25.629864+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|final decision then
74|4aea6b13-5297-4bf6-9570-f9f84b3435a4|Kiwi|5ed4419de103428bbaf79cc72f34506e|2021-05-31 17:17:45.015859+00:00|7c3f79ae-33a6-432b-941f-c7daa6047456.tsv|Yeah I am going for it. lol
21|3393b93c-ca0f-4a2b-b704-cb7090b317c5|Butterfly|1d9c7047846f450fb6d95e4badc0066c|2021-06-21 19:35:24.681518+00:00|ebc07608-c97c-489c-b541-0206fbd69ff3.tsv|Hi
